Package,Project Count,Tainted Dependencies,Total Transitive Smells
org.apache.maven.plugins:maven-pmd-plugin@3.26.0,10,26,30
org.apache.maven.plugins:maven-site-plugin@3.3,13,21,27
org.apache.maven.plugins:maven-site-plugin@3.12.1,5,24,26
org.codehaus.mojo:jdepend-maven-plugin@2.1,10,17,21
org.apache.felix:maven-bundle-plugin@5.1.9,15,18,20
org.apache.maven.plugins:maven-resources-plugin@2.6,10,17,19
org.apache.maven.plugins:maven-site-plugin@4.0.0-M16,10,16,16
org.apache.maven.plugins:maven-javadoc-plugin@3.11.2,12,13,13
org.sonatype.plugins:nexus-staging-maven-plugin@1.7.0,10,12,12
org.apache.velocity:velocity-tools@2.0,32,5,8
org.apache.maven.plugins:maven-jar-plugin@3.4.2,5,5,5
org.apache.maven.plugins:maven-install-plugin@2.4,11,4,4
org.apache.maven.plugins:maven-enforcer-plugin@3.4.1,5,3,3
org.apache.maven.plugins:maven-resources-plugin@3.3.1,18,3,3
org.apache.maven.plugins:maven-surefire-report-plugin@3.5.2,9,3,3
org.apache.maven.plugins:maven-enforcer-plugin@3.5.0,12,3,3
org.apache.maven.plugins:maven-scm-plugin@2.1.0,9,2,2
com.google.code.maven-replacer-plugin:replacer@1.5.3,9,2,2
org.apache.maven.plugins:maven-compiler-plugin@3.14.0,11,2,2
org.apache.maven.plugins:maven-deploy-plugin@2.7,7,2,2
org.apache.maven.plugins:maven-compiler-plugin@3.13.0,6,2,2
org.apache.maven.plugins:maven-jar-plugin@2.4,5,1,1
junit:junit@4.13.2,8,1,1
org.gradlex:gradle-module-metadata-maven-plugin@1.0.1,9,1,1
org.junit.jupiter:junit-jupiter-engine@5.11.4,8,1,1
org.junit.jupiter:junit-jupiter-api@5.11.4,9,1,1
